Hour,Agent,Behavior,model,score,awake
0,Bruce,sleep,fuzzy,1.4,1
0,Clark,sleep,fuzzy,0.0,0
0,Diana,sleep,fuzzy,0.0,0
0,Barry,cook,fuzzy,4.35,1
0,Lex,sleep,fuzzy,0.0,0
1,Bruce,cook,fuzzy,9.15,1
1,Clark,sleep,fuzzy,0.0,0
1,Diana,sleep,fuzzy,0.0,0
1,Barry,sleep,fuzzy,0.0,0
1,Lex,sleep,fuzzy,0.0,0
2,Bruce,sleep,fuzzy,0.0,0
2,Clark,sleep,fuzzy,0.0,0
2,Diana,sleep,fuzzy,0.0,0
2,Barry,sleep,fuzzy,0.0,0
2,Lex,sleep,fuzzy,0.0,0
3,Bruce,sleep,fuzzy,0.0,0
3,Clark,sleep,fuzzy,0.0,0
3,Diana,sleep,fuzzy,0.0,0
3,Barry,sleep,fuzzy,0.0,0
3,Lex,sleep,fuzzy,0.0,0
4,Bruce,sleep,fuzzy,0.0,0
4,Clark,sleep,fuzzy,0.0,0
4,Diana,sleep,fuzzy,0.0,0
4,Barry,sleep,fuzzy,0.0,0
4,Lex,sleep,fuzzy,0.0,0
5,Bruce,sleep,fuzzy,0.0,0
5,Clark,sleep,fuzzy,0.0,0
5,Diana,sleep,fuzzy,0.0,0
5,Barry,sleep,fuzzy,0.0,0
5,Lex,sleep,fuzzy,0.0,0
6,Bruce,sleep,fuzzy,0.0,0
6,Clark,sleep,fuzzy,0.0,0
6,Diana,sleep,fuzzy,0.0,0
6,Barry,sleep,fuzzy,0.0,0
6,Lex,sleep,fuzzy,0.0,0
7,Bruce,sleep,fuzzy,0.0,0
7,Clark,lounge,fuzzy,5.0,1
7,Diana,sleep,fuzzy,0.0,0
7,Barry,sleep,fuzzy,0.0,0
7,Lex,sleep,fuzzy,0.0,0
8,Bruce,sleep,fuzzy,0.0,0
8,Clark,cook,fuzzy,4.57,1
8,Diana,lounge,fuzzy,4.75,1
8,Barry,sleep,fuzzy,0.0,0
8,Lex,lounge,fuzzy,4.75,1
9,Bruce,sleep,fuzzy,0.0,0
9,Clark,play,fuzzy,5.0,1
9,Diana,cook,fuzzy,4.75,1
