Hour,Agent,Behavior,model,score,awake
0,Bruce,lounge,utility,0.1616,1
0,Clark,sleep,utility,0.0,0
0,Diana,sleep,utility,0.0,0
0,Barry,cook,utility,0.8274999999999999,1
0,Lex,sleep,utility,0.0,0
1,Bruce,cook,utility,0.6793,1
1,Clark,sleep,utility,0.0,0
1,Diana,sleep,utility,0.0,0
1,Barry,sleep,utility,0.0,0
1,Lex,sleep,utility,0.0,0
2,Bruce,sleep,utility,0.0,0
2,Clark,sleep,utility,0.0,0
2,Diana,sleep,utility,0.0,0
2,Barry,sleep,utility,0.0,0
2,Lex,sleep,utility,0.0,0
3,Bruce,sleep,utility,0.0,0
3,Clark,sleep,utility,0.0,0
3,Diana,sleep,utility,0.0,0
3,Barry,sleep,utility,0.0,0
3,Lex,sleep,utility,0.0,0
4,Bruce,sleep,utility,0.0,0
4,Clark,sleep,utility,0.0,0
4,Diana,sleep,utility,0.0,0
4,Barry,sleep,utility,0.0,0
4,Lex,sleep,utility,0.0,0
5,Bruce,sleep,utility,0.0,0
5,Clark,sleep,utility,0.0,0
5,Diana,sleep,utility,0.0,0
5,Barry,sleep,utility,0.0,0
5,Lex,sleep,utility,0.0,0
6,Bruce,sleep,utility,0.0,0
6,Clark,sleep,utility,0.0,0
6,Diana,sleep,utility,0.0,0
6,Barry,sleep,utility,0.0,0
6,Lex,sleep,utility,0.0,0
7,Bruce,sleep,utility,0.0,0
7,Clark,cook,utility,0.8124999999999999,1
7,Diana,sleep,utility,0.0,0
7,Barry,sleep,utility,0.0,0
7,Lex,sleep,utility,0.0,0
8,Bruce,sleep,utility,0.0,0
8,Clark,lounge,utility,0.4472,1
8,Diana,cook,utility,0.6003,1
8,Barry,sleep,utility,0.0,0
8,Lex,cook,utility,0.7152999999999999,1
9,Bruce,sleep,utility,0.0,0
9,Clark,study,utility,0.43690000000000007,1
9,Diana,study,utility,0.49679999999999996,1
9,Barry,lounge,utility,0.5380571428571429,1
9,Lex,study,utility,0.4768,1
10,Bruce,study,utility,0.47569999999999996,1
10,Clark,cook,utility,0.4263999999999998,1
10,Diana,study,utility,0.4759,1
10,Barry,study,utility,0.49470000000000003,1
10,Lex,study,utility,0.4639000000000001,1
11,Bruce,sleep,utility,0.1332,1
11,Clark,study,utility,0.44190000000000007,1
11,Diana,play,utility,0.4661,1
11,Barry,cook,utility,0.5985,1
11,Lex,study,utility,0.4469999999999999,1
12,Bruce,cook,utility,0.5919,1
12,Clark,study,utility,0.03687999999999997,1
12,Diana,study,utility,0.4548999999999999,1
12,Barry,study,utility,0.49570000000000003,1
12,Lex,cook,utility,0.5669,1
13,Bruce,play,utility,0.5119,1
13,Clark,shower,utility,0.5718000000000001,1
13,Diana,cook,utility,0.5299999999999999,1
13,Barry,lounge,utility,0.4888,1
13,Lex,lounge,utility,0.22640000000000002,1
14,Bruce,study,utility,0.6418000000000003,1
14,Clark,lounge,utility,0.47131428571428574,1
14,Diana,shower,utility,0.8628000000000001,1
14,Barry,study,utility,0.6668000000000002,1
14,Lex,play,utility,0.7168000000000002,1
15,Bruce,study,utility,0.6772000000000002,1
15,Clark,play,utility,0.4347000000000001,1
15,Diana,play,utility,0.48730000000000007,1
15,Barry,shower,utility,0.7022000000000003,1
15,Lex,study,utility,0.6622000000000002,1
16,Bruce,shower,utility,0.7126000000000002,1
16,Clark,clean,utility,0.42,1
16,Diana,study,utility,0.46529999999999994,1
16,Barry,play,utility,0.48470000000000013,1
16,Lex,study,utility,0.6976000000000002,1
17,Bruce,play,utility,0.5413000000000001,1
17,Clark,cook,utility,0.4706999999999997,1
17,Diana,play,utility,0.45230000000000004,1
17,Barry,cook,utility,0.48319999999999985,1
17,Lex,shower,utility,0.7330000000000002,1
18,Bruce,cook,utility,0.6044,1
18,Clark,lounge,utility,0.628,1
18,Diana,lounge,utility,0.5880000000000001,1
18,Barry,lounge,utility,0.6944,1
18,Lex,cook,utility,0.5793999999999999,1
19,Bruce,play,utility,0.5359857142857144,1
19,Clark,lounge,utility,0.516457142857143,1
19,Diana,cook,utility,0.5871,1
19,Barry,lounge,utility,0.582857142857143,1
19,Lex,lounge,utility,0.5380571428571429,1
20,Bruce,study,utility,0.5004,1
20,Clark,shower,utility,0.6036000000000002,1
20,Diana,sleep,utility,0.6096000000000003,1
20,Barry,sleep,utility,0.5320000000000001,1
20,Lex,sleep,utility,0.5532000000000002,1
21,Bruce,sleep,utility,0.5240000000000002,1
21,Clark,sleep,utility,0.5268000000000003,1
21,Diana,shower,utility,0.8316000000000003,1
21,Barry,play,utility,0.5305000000000002,1
21,Lex,play,utility,0.5505000000000002,1
22,Bruce,sleep,utility,0.5484000000000002,1
22,Clark,lounge,utility,0.5624,1
22,Diana,sleep,utility,0.6084000000000003,1
22,Barry,shower,utility,0.6560000000000004,1
22,Lex,sleep,utility,0.5840000000000003,1
23,Bruce,shower,utility,0.6904000000000001,1
23,Clark,sleep,utility,0.0,0
23,Diana,sleep,utility,0.5988000000000002,1
23,Barry,sleep,utility,0.5532000000000004,1
23,Lex,sleep,utility,0.0,0
