Hour,Agent,Behavior,model,score,awake
0,Bruce,cook,utility,0.5175,1
0,Clark,sleep,utility,0.0,0
0,Diana,sleep,utility,0.0,0
0,Barry,cook,utility,0.8274999999999999,1
0,Lex,sleep,utility,0.0,0
1,Bruce,study,utility,0.4858,1
1,Clark,sleep,utility,0.0,0
1,Diana,sleep,utility,0.0,0
1,Barry,sleep,utility,0.0,0
1,Lex,sleep,utility,0.0,0
2,Bruce,sleep,utility,0.0,0
2,Clark,sleep,utility,0.0,0
2,Diana,sleep,utility,0.0,0
2,Barry,sleep,utility,0.0,0
2,Lex,sleep,utility,0.0,0
3,Bruce,sleep,utility,0.0,0
3,Clark,sleep,utility,0.0,0
3,Diana,sleep,utility,0.0,0
3,Barry,sleep,utility,0.0,0
3,Lex,sleep,utility,0.0,0
4,Bruce,sleep,utility,0.0,0
4,Clark,sleep,utility,0.0,0
4,Diana,sleep,utility,0.0,0
4,Barry,sleep,utility,0.0,0
4,Lex,sleep,utility,0.0,0
5,Bruce,sleep,utility,0.0,0
5,Clark,sleep,utility,0.0,0
5,Diana,sleep,utility,0.0,0
5,Barry,sleep,utility,0.0,0
5,Lex,sleep,utility,0.0,0
6,Bruce,sleep,utility,0.0,0
6,Clark,sleep,utility,0.0,0
6,Diana,sleep,utility,0.0,0
6,Barry,sleep,utility,0.0,0
6,Lex,sleep,utility,0.0,0
7,Bruce,sleep,utility,0.0,0
7,Clark,cook,utility,0.8124999999999999,1
7,Diana,sleep,utility,0.0,0
7,Barry,sleep,utility,0.0,0
7,Lex,sleep,utility,0.0,0
8,Bruce,sleep,utility,0.0,0
8,Clark,lounge,utility,0.4472,1
8,Diana,sleep,utility,0.08639999999999998,1
8,Barry,sleep,utility,0.0,0
8,Lex,cook,utility,0.7152999999999999,1
9,Bruce,sleep,utility,0.0,0
9,Clark,study,utility,0.4387000000000001,1
9,Diana,cook,utility,0.6892999999999999,1
9,Barry,lounge,utility,0.5380571428571429,1
9,Lex,study,utility,0.4768,1
10,Bruce,study,utility,0.4648999999999999,1
10,Clark,cook,utility,0.5078999999999998,1
10,Diana,study,utility,0.5392,1
10,Barry,study,utility,0.49470000000000003,1
10,Lex,study,utility,0.4639000000000001,1
11,Bruce,study,utility,0.4439999999999999,1
11,Clark,study,utility,0.4437,1
11,Diana,play,utility,0.5331,1
11,Barry,cook,utility,0.5985,1
11,Lex,clean,utility,0.382,1
12,Bruce,cook,utility,0.5547,1
12,Clark,study,utility,0.43079999999999996,1
12,Diana,play,utility,0.48830000000000007,1
12,Barry,study,utility,0.49570000000000003,1
12,Lex,cook,utility,0.5647,1
13,Bruce,play,utility,0.4567,1
13,Clark,shower,utility,0.5718000000000001,1
13,Diana,cook,utility,0.5671999999999999,1
13,Barry,lounge,utility,0.4888,1
13,Lex,study,utility,0.4507999999999999,1
14,Bruce,shower,utility,0.7348000000000002,1
14,Clark,lounge,utility,0.4484571428571429,1
14,Diana,study,utility,0.6948000000000001,1
14,Barry,study,utility,0.4629,1
14,Lex,play,utility,0.7168000000000002,1
15,Bruce,play,utility,0.4593000000000001,1
15,Clark,play,utility,0.4347000000000001,1
15,Diana,shower,utility,0.7302000000000002,1
15,Barry,clean,utility,0.7022000000000003,1
15,Lex,study,utility,0.6622000000000002,1
16,Bruce,study,utility,0.45669999999999994,1
16,Clark,clean,utility,0.42,1
16,Diana,study,utility,0.5286,1
16,Barry,shower,utility,0.7226000000000002,1
16,Lex,study,utility,0.6976000000000002,1
17,Bruce,study,utility,0.43579999999999985,1
17,Clark,cook,utility,0.43999999999999984,1
17,Diana,play,utility,0.5175000000000001,1
17,Barry,play,utility,0.4845000000000001,1
17,Lex,shower,utility,0.7330000000000002,1
18,Bruce,play,utility,0.5408999999999999,1
18,Clark,lounge,utility,0.628,1
18,Diana,lounge,utility,0.5864,1
18,Barry,cook,utility,0.7694,1
18,Lex,cook,utility,0.5509,1
19,Bruce,cook,utility,0.6255999999999999,1
19,Clark,sleep,utility,0.5060000000000001,1
19,Diana,cook,utility,0.5935999999999999,1
19,Barry,lounge,utility,0.7645714285714287,1
19,Lex,lounge,utility,0.5397714285714287,1
20,Bruce,lounge,utility,0.4733714285714286,1
20,Clark,shower,utility,0.5406000000000003,1
20,Diana,lounge,utility,0.5321714285714286,1
20,Barry,lounge,utility,0.5501714285714288,1
20,Lex,sleep,utility,0.5532000000000002,1
21,Bruce,shower,utility,0.7816000000000003,1
21,Clark,lounge,utility,0.6996571428571429,1
21,Diana,sleep,utility,0.5684000000000002,1
21,Barry,sleep,utility,0.5624000000000002,1
21,Lex,clean,utility,0.419,1
22,Bruce,sleep,utility,0.6340000000000003,1
22,Clark,sleep,utility,0.5412000000000001,1
22,Diana,shower,utility,0.7740000000000002,1
22,Barry,sleep,utility,0.5708000000000002,1
22,Lex,sleep,utility,0.5920000000000003,1
23,Bruce,sleep,utility,0.5944000000000003,1
23,Clark,sleep,utility,0.0,0
23,Diana,sleep,utility,0.5972000000000002,1
23,Barry,study,utility,0.5058999999999999,1
23,Lex,sleep,utility,0.0,0
